"","motif","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","motif.name"
"144","MA0084.1",4.04363171141485e-17,3.49792506988522,0.905,0.494,2.5596188733256e-14,"Endothelial cells","SRY"
"145","MA0088.2",0.000475209266090836,0.693322733575958,0.645,0.494,0.300807465435499,"Stromal cells","ZNF143"
"146","MA0088.2",6.09412412017285e-08,1.46747820347168,0.786,0.493,3.85758056806941e-05,"Endothelial cells","ZNF143"
"147","MA0088.2",1.26531954645022e-23,0.86392929683822,0.711,0.485,8.00947272902987e-21,"NFIB high_NE","ZNF143"
"148","MA0089.2",1.91150320866379e-266,7.29681626651602,0.858,0.323,1.20998153108418e-263,"NE_2","NFE2L1"
"149","MA0090.3",4.83989342417129e-144,1.26391850260369,0.975,0.281,3.06365253750043e-141,"Club cell_2","TEAD1"
"150","MA0090.3",0,4.66416765708272,0.977,0.194,0,"Club cells_1","TEAD1"
"151","MA0090.3",4.62527555304296e-75,1.19642414491418,0.967,0.302,2.9277994250762e-72,"Club cells_3","TEAD1"
"152","MA0091.1",7.60692840791436e-31,0.954837621954919,0.904,0.556,4.81518568220979e-28,"NE_7","TAL1::TCF3"
"153","MA0091.1",2.42845330836114e-88,4.5166363649401,0.918,0.547,1.5372109441926e-85,"NFIB high_NE","TAL1::TCF3"
"154","MA0093.3",1.45680572923197e-40,0.594361750000405,0.654,0.473,9.2215802660384e-38,"NE_2","USF1"
"155","MA0093.3",9.55433966128002e-06,0.53839260207505,0.547,0.493,0.00604789700559025,"NE_6","USF1"
"156","MA0093.3",7.70885916627407e-125,1.22532934361137,0.78,0.457,4.87970785225148e-122,"NE_3","USF1"
"157","MA0093.3",5.49131447349571e-10,0.543152617785339,0.77,0.493,3.47600206172278e-07,"NE_8","USF1"
"158","MA0093.3",1.83535070370426e-06,1.28334560012385,0.554,0.49,0.0011617769954448,"NE_4","USF1"
"159","MA0095.2",6.10578117498978e-19,3.44875181175944,0.952,0.472,3.86495948376853e-16,"Endothelial cells","YY1"
"160","MA0095.2",4.37290183350636e-14,0.812097051523843,0.569,0.464,2.76804686060953e-11,"NE_4","YY1"
"161","MA0095.2",1.58087075583804e-10,2.34323229326426,0.903,0.473,1.00069118844548e-07,"Stromal cells","YY1"
"162","MA0095.2",6.61401886246894e-49,1.41813926792453,0.768,0.462,4.18667393994284e-46,"NFIB high_NE","YY1"
"163","MA0098.3",9.60453514509971e-28,9.94474904772404,1,0.456,6.07967074684812e-25,"Endothelial cells","ETS1"
"164","MA0098.3",1.1003881308575e-08,0.750577042088363,0.531,0.451,6.96545686832796e-06,"NE_4","ETS1"
"165","MA0099.3",6.59379971368873e-285,13.2989664397885,0.888,0.314,4.17387521876497e-282,"NE_2","FOS::JUN"
"166","MA0100.3",4.32019437103834e-27,0.730353949215144,0.708,0.484,2.73468303686727e-24,"NFIB high_NE","MYB"
"167","MA0100.3",1.82252883187312e-11,0.621296439127591,0.6,0.486,1.15366075057569e-08,"NE_6","MYB"
"168","MA0100.3",6.05780884826936e-06,0.578350226156549,0.627,0.49,0.0038345930009545,"NE_7","MYB"
"169","MA0101.1",8.30189178781871e-21,3.84044358317469,0.976,0.41,5.25509750168924e-18,"Endothelial cells","REL"
"170","MA0101.1",0,5.46805884220222,0.882,0.326,0,"Club cells_1","REL"
"171","MA0102.4",1.22238651848346e-07,1.24498133771797,0.806,0.355,7.73770666200032e-05,"Stromal cells","CEBPA"
"172","MA0102.4",9.47932370188866e-63,8.59570531729117,0.979,0.346,6.00041190329552e-60,"AT2 cells","CEBPA"
"173","MA0103.3",3.06900386998122e-113,1.87551592819423,0.911,0.528,1.94267944969811e-110,"NE_5","ZEB1"
"174","MA0103.3",3.89950723536696e-46,0.627206179458604,0.77,0.538,2.46838807998728e-43,"NE_4","ZEB1"
"175","MA0103.3",1.42523993821149e-09,1.09539808262493,0.85,0.558,9.02176880887874e-07,"NE_8","ZEB1"
"176","MA0103.3",4.59520494233028e-47,2.97886264451837,0.944,0.553,2.90876472849506e-44,"NE_7","ZEB1"
"177","MA0103.3",0.000235196793955603,0.662194673140194,0.636,0.556,0.148879570573896,"NE_6","ZEB1"
"178","MA0104.4",1.6215486279701e-06,0.894728906217171,0.641,0.483,0.00102644028150507,"AT2 cells","MYCN"
"179","MA0104.4",0.00234006018323496,0.607527725478834,0.529,0.483,1,"NE_6","MYCN"
"180","MA0104.4",2.80023364257711e-19,0.581628741022664,0.677,0.477,1.77254789575131e-16,"NFIB high_NE","MYCN"
"181","MA0105.4",1.76934584132225e-97,2.1713898979671,0.679,0.42,1.11999591755699e-94,"Club cells_1","NFKB1"
"182","MA0105.4",1.50499211433862e-05,1.79708839648952,0.738,0.459,0.00952660008376344,"Endothelial cells","NFKB1"
"183","MA0105.4",1.2809287076342e-17,1.27492534227935,0.739,0.454,8.10827871932448e-15,"Club cells_3","NFKB1"
"184","MA0106.3",2.44948707653178e-24,2.50262146800603,0.891,0.495,1.55052531944461e-21,"Cilliated cells","TP53"
"185","MA0107.1",4.83567685473263e-12,3.63873210533862,0.299,0.429,3.06098344904576e-09,"NE_2","RELA"
"186","MA0107.1",9.07116106117341e-20,0.555854566260253,0.952,0.41,5.74204495172276e-17,"Endothelial cells","RELA"
"187","MA0107.1",0,1.52047684510811,0.899,0.322,0,"Club cells_1","RELA"
"188","MA0112.3",1.64421780673832e-10,0.606589964893421,0.674,0.49,1.04078987166536e-07,"Club cells_3","ESR1"
"189","MA0113.3",3.3917389504022e-22,7.4637483781977,0.952,0.474,2.14697075560459e-19,"Endothelial cells","NR3C1"
"190","MA0113.3",2.93025261158772e-11,2.12907687608645,0.903,0.475,1.85484990313502e-08,"Stromal cells","NR3C1"
"191","MA0114.4",3.22112236798527e-90,1.42671479261005,0.876,0.444,2.03897045893468e-87,"Club cell_2","HNF4A"
"192","MA0114.4",9.946701383542e-31,1.32261374173459,0.81,0.459,6.29626197578209e-28,"Club cells_3","HNF4A"
"193","MA0114.4",0,1.89796872277632,0.873,0.391,0,"Club cells_1","HNF4A"
